slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
scolytus-scolytus,insect,tree-bark,idle-only,override,Bark-boring beetles spend their entire life cycle under or on elm bark rather than visiting flowers.,
sesia-apiformis,insect,tree-bark,idle-only,override,Larvae tunnel inside Populus wood and adults rest cryptically on bark rather than visiting flowers.,
sitta-europaea-dendrocopos-major,bird,tree-bark,idle-only,override,Both species are bark-foragers that freeze on trunk surfaces rather than flitting through canopy foliage.,
small-mammals,mammal,ground-park;tree-canopy,park-roamer,override,Fox and mice are ground-park dominant; squirrel component adds a genuine secondary tree-canopy use.,
smerinthus-ocellata,insect,tree-canopy,idle-only,override,Caterpillars feed on willow foliage and adults rest motionless on bark rather than visiting flowers.,
sphinx-pinastri,insect,tree-canopy,idle-only,override,Larvae feed on pine needles in the canopy and adults rest motionless on bark by day without visiting flowers.,
spinus-spinus,bird,tree-canopy,tree-flitter,default,Small seed-eating finch that moves actively between alder and birch canopy in classic flitting pattern.,
stereonychus-fraxini,insect,tree-canopy,idle-only,override,Ash weevil feeds on ash buds and leaflets and rests cryptically on foliage rather than visiting flowers.,
stigmella-microtheriella,insect,tree-canopy,idle-only,override,Leaf-mining larva is confined inside hornbeam leaf tissue and the tiny adult rests motionless on foliage.,
stomaphis-yanonis-aphididae,insect,tree-bark,idle-only,override,Bark-feeding phloem aphid forms sessile colonies on Zelkova trunk surface rather than canopy foliage.,photo of a Stomaphis colony on Zelkova bark showing characteristic ant tending
strix-aluco-phoenicurus-phoenicurus-sitta-dendrocopos,bird,tree-canopy;tree-bark,idle-only;tree-flitter,override,Mixed cavity-nesting and bark-foraging birds require both canopy and bark habitat with dual movement reflecting owl stasis and redstart flitting.,
sturnus-vulgaris,bird,ground-urban;tree-canopy,urban-walker;tree-flitter,override,Starling is primarily a ground-urban forager on pavements and lawns with a genuine secondary canopy phase at fruiting Morus and Nyssa trees.,
sus-scrofa,mammal,ground-park,park-roamer,default,Ground-rooting mammal foraging for beech mast in park settings fits the mammal default exactly.,
sylvia-atricapilla,bird,tree-canopy,tree-flitter,default,Active warbler that moves continuously between canopy perches while foraging for insects and berries.,
syrphidae,insect,flower-visitor,flower-bobber,default,Hoverflies are primary flower-visiting pollinators that hover and bob between blooms on urban trees.,
taxomyia-taxi,insect,tree-canopy,idle-only,override,Gall midge larva is enclosed in a shoot-tip gall in the yew canopy and the adult does not visit flowers.,
tenthredinidae,insect,tree-canopy,idle-only,override,Sawfly larvae feed gregariously on dogwood foliage and adults rest on leaves without flower-visiting behavior.,
tenthredinidae-e-g-croesus-septentrionalis,insect,tree-canopy,idle-only,override,Hazel sawfly larvae feed on Corylus leaves and adults rest on foliage without visiting flowers.,
tetranychidae,arachnid,tree-canopy,idle-only,override,Spider mites are leaf-surface feeders on multiple tree genera; tree-canopy overrides the arachnid default of anywhere.,
tetranychus-urticae,arachnid,tree-canopy,idle-only,override,Two-spotted mite feeds exclusively on leaf undersides of canopy trees; tree-canopy overrides the arachnid default of anywhere.,
tetropium-gabrieli,insect,tree-bark,idle-only,override,Longhorn larva develops under larch bark and adult rests on bark surface without visiting flowers.,
thaumetopoea-pityocampa,insect,tree-canopy,idle-only,override,Colony lives in silk nests in pine crown; processionary marching is occasional and does not require a separate movement class.,
thelephoraceae,fungus,ground-park,none,override,Ectomycorrhizal fungi fruit at soil level near tree roots rather than on the trunk bark surface.,
tinocallis-platani,insect,tree-canopy,idle-only,override,Elm leaf aphid colonies are sessile feeders on upper leaf surfaces in the canopy with no flower-visiting behavior.,
tomicus-piniperda,insect,tree-bark,idle-only,override,Pine bark beetle bores into and under Pinus bark for all breeding and feeding activity without visiting flowers.,
tortricidae,insect,tree-canopy,idle-only,override,Caterpillars roll or web canopy leaves and adults rest cryptically on bark by day without visiting flowers.,
tortrix-geometrid,insect,tree-canopy,idle-only,override,Caterpillars feed on Liquidambar foliage and adults rest motionless on bark without visiting flowers.,
toumeyella-liriodendri,insect,tree-bark,idle-only,override,Soft scale insect is sessile on Liriodendron bark and phloem with no mobility once settled.,
trachys-yanoi,insect,tree-canopy,idle-only,override,Leaf-mining larva is confined inside Zelkova leaf tissue and the adult basks on foliage without visiting flowers.,photo of a Zelkova leaf showing blotch mines or an adult Trachys-type buprestid beetle on a leaf in sunlight
