id,gbdBuurtId,geometrie,typeBeheerderPlus,boomhoogteklasseActueel,typeEigenaarPlus,jaarVanAanleg,soortnaam,stamdiameterklasse,standplaats,standplaatsGedetailleerd,typeObject,typeSoortnaam,groeiplaatsBoomId,beschermingsstatusGedetailleerd,beschermingsstatus,geldigVanaf,mutatieDatum,soortnaamKort,soortnaamTop,rd_x,rd_y,longitude,latitude,postcode6,postcode4
3869075,,,R&E_VOR_Bomen,,,0,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2022-08-01,2025-12-10T11:44:32.879822,,,,,,,,
4133399,,,,,,1987,Crataegus monogyna,,,,Boom vrij uitgroeiend,Bomen,,,,2023-03-24,2025-12-10T11:44:32.879822,Crataegus,Meidoorn (Crataegus),,,,,,
4183212,,,R&E_VOR_EPR,,,,Quercus aliena,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-04-17,2025-12-10T11:44:32.879822,Quercus,Eik (Quercus),,,,,,
4183360,,,R&E_VOR_EPR,,,,Quercus,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-04-17,2025-12-10T11:44:32.879822,Quercus,Eik (Quercus),,,,,,
4187621,,,R&E_VOR_EPR,,,,Quercus aliena,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-04-24,2025-12-10T11:44:32.879822,Quercus,Eik (Quercus),,,,,,
4187652,,,R&E_VOR_EPR,,,,Quercus aliena,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-04-24,2025-12-10T11:44:32.879822,Quercus,Eik (Quercus),,,,,,
4208481,,,R&E_VOR_EPR,,,,Quercus aliena,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-04-26,2025-12-10T11:44:32.879822,Quercus,Eik (Quercus),,,,,,
4211968,,,R&E_VOR_Bomen,,,,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-05-03,2025-12-10T11:44:32.879822,,,,,,,,
4224704,,,,,,2018,Salix alba,,,,Boom niet vrij uitgroeiend,Bomen,,,,2023-05-24,2025-12-10T11:44:32.879822,Salix,Wilg (Salix),,,,,,
4448671,,,R&E_VOR_Bomen,,,,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-01-31,2025-12-10T11:44:32.879822,,,,,,,,
4533610,,,R&E_VOR_Bomen,,,,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-01,2025-12-10T11:44:32.879822,,,,,,,,
4568994,,,R&E_VOR_Bomen,,,2021,Prunus serrulata 'Fugenzo',,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,Prunus,Kers (Prunus),,,,,,
4568995,,,R&E_VOR_Bomen,,,2021,Prunus serrulata 'Fugenzo',,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,Prunus,Kers (Prunus),,,,,,
4568996,,,R&E_VOR_Bomen,,,2022,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,,,,,,,,
4568997,,,R&E_VOR_Bomen,,,2022,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,,,,,,,,
4568998,,,R&E_VOR_Bomen,,,2022,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,,,,,,,,
4568999,,,R&E_VOR_Bomen,,,2022,,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-03-29,2025-12-10T11:44:32.879822,,,,,,,,
4783347,,,R&E_VOR_Bomen,,,,,,,,Boom niet vrij uitgroeiend,,,,,2024-06-18,2025-12-10T11:44:32.879822,,,,,,,,
4992477,,,R&E_VOR_Bomen,,,,Ulmus minor,,,,Boom niet vrij uitgroeiend,,,,,2024-08-13,2025-12-10T11:44:32.879822,Ulmus,Iep (Ulmus),,,,,,
5000940,,,R&E_VOR_Bomen,,,,Populus alba,,,,Boom niet vrij uitgroeiend,Bomen,,,,2024-08-26,2026-02-20T13:15:05.964148,Populus,Populier (Populus),,,,,,
5671596,,,R&E_VOR_Bomen,,,,,,,,Boom niet vrij uitgroeiend,,,,,2024-11-28,2025-12-10T11:44:32.879822,,,,,,,,
8452362,,,R&E_VOR_BOOMPUNT_IEP,,,,Ulmus minor,,,,Boom niet vrij uitgroeiend,,,,,2026-03-13,2026-04-07T15:23:41.022125,Ulmus,Iep (Ulmus),,,,,,
8452363,,,R&E_VOR_BOOMPUNT_IEP,,,,Ulmus minor,,,,Boom niet vrij uitgroeiend,,,,,2026-03-13,2026-04-07T15:23:41.102172,Ulmus,Iep (Ulmus),,,,,,
8566764,,,Begraafplaats De Nieuwe Ooster,a. tot 6 m.,Gemeente Amsterdam,2015,,,,,Boom vrij uitgroeiend,,,,,2026-04-29,2026-04-29T11:48:21.726662,,,,,,,,
